,city_id,city_name,lat,lon,date,time,temperature,feels_like,humidity,weather_type,description,wind_speed,precipitation
39,6435453,Huisnes-sur-Mer,48.636,-1.5115,2023-09-22,12:00:00,16.71,16.21,68,Rain,light rain,9.91,0.74
40,2978640,St-Malo,48.6495,-2.026,2023-09-17,15:00:00,25.18,25.45,65,Rain,light rain,6.85,0.35
41,2978640,St-Malo,48.6495,-2.026,2023-09-17,18:00:00,24.02,24.15,64,Rain,light rain,6.12,0.43
42,2978640,St-Malo,48.6495,-2.026,2023-09-17,21:00:00,20.07,20.25,81,Rain,light rain,4.99,0.68
43,2978640,St-Malo,48.6495,-2.026,2023-09-18,00:00:00,16.81,16.84,88,Clouds,scattered clouds,5.07,0.64
44,2978640,St-Malo,48.6495,-2.026,2023-09-18,03:00:00,15.91,15.85,88,Clouds,few clouds,5.38,0.0
45,2978640,St-Malo,48.6495,-2.026,2023-09-18,06:00:00,15.86,15.64,82,Clouds,scattered clouds,6.87,0.0
46,2978640,St-Malo,48.6495,-2.026,2023-09-18,09:00:00,18.9,18.73,72,Clouds,broken clouds,8.42,0.0
47,2978640,St-Malo,48.6495,-2.026,2023-09-18,12:00:00,18.77,18.71,77,Rain,light rain,8.82,0.48
48,2978640,St-Malo,48.6495,-2.026,2023-09-18,15:00:00,19.08,18.71,64,Rain,light rain,9.02,0.79
49,2978640,St-Malo,48.6495,-2.026,2023-09-18,18:00:00,17.5,17.26,75,Clouds,broken clouds,7.78,0.75
50,2978640,St-Malo,48.6495,-2.026,2023-09-18,21:00:00,16.57,16.14,71,Rain,light rain,7.2,0.35
51,2978640,St-Malo,48.6495,-2.026,2023-09-19,00:00:00,14.45,14.07,81,Clouds,overcast clouds,5.87,0.0
52,2978640,St-Malo,48.6495,-2.026,2023-09-19,03:00:00,14.18,13.79,82,Clouds,overcast clouds,6.31,0.17
53,2978640,St-Malo,48.6495,-2.026,2023-09-19,06:00:00,13.72,13.39,86,Clouds,overcast clouds,5.62,0.0
54,2978640,St-Malo,48.6495,-2.026,2023-09-19,09:00:00,17.54,17.1,67,Clouds,overcast clouds,7.23,0.0
55,2978640,St-Malo,48.6495,-2.026,2023-09-19,12:00:00,20.1,19.76,61,Clouds,overcast clouds,7.07,0.0
56,2978640,St-Malo,48.6495,-2.026,2023-09-19,15:00:00,20.81,20.46,58,Clouds,overcast clouds,6.71,0.0
57,2978640,St-Malo,48.6495,-2.026,2023-09-19,18:00:00,19.32,19.0,65,Clouds,overcast clouds,7.25,0.0
58,2978640,St-Malo,48.6495,-2.026,2023-09-19,21:00:00,16.25,16.02,80,Clouds,overcast clouds,7.08,0.0
59,2978640,St-Malo,48.6495,-2.026,2023-09-20,00:00:00,16.02,15.87,84,Clouds,overcast clouds,7.44,0.0
60,2978640,St-Malo,48.6495,-2.026,2023-09-20,03:00:00,16.36,16.27,85,Clouds,overcast clouds,7.38,0.0
61,2978640,St-Malo,48.6495,-2.026,2023-09-20,06:00:00,17.65,17.66,84,Clouds,overcast clouds,7.83,0.0
62,2978640,St-Malo,48.6495,-2.026,2023-09-20,09:00:00,19.98,19.86,70,Clouds,overcast clouds,10.4,0.0
63,2978640,St-Malo,48.6495,-2.026,2023-09-20,12:00:00,22.52,22.34,58,Clouds,broken clouds,12.56,0.0
